age,fnlwgt,education,educational-num,marital-status,relationship,race,gender,capital-gain,capital-loss,hours-per-week,income
27,181280,Masters,14,Never-married,Unmarried,White,Male,0,0,30,0
46,604380,HS-grad,9,Married-civ-spouse,Husband,Black,Male,0,0,40,0
42,245307,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,1977,48,1
71,101676,10th,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
43,220609,Some-college,10,Divorced,Not-in-family,White,Female,0,0,50,0
35,331395,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,0,0,42,0
71,158437,5th-6th,3,Married-civ-spouse,Husband,White,Male,0,0,40,0
52,124591,HS-grad,9,Never-married,Unmarried,White,Male,0,0,40,0
25,252752,HS-grad,9,Never-married,Unmarried,White,Female,0,0,40,0
45,270535,Bachelors,13,Married-civ-spouse,Husband,White,Male,15024,0,40,1
26,200681,HS-grad,9,Never-married,Own-child,White,Male,0,0,40,0
31,123983,Some-college,10,Separated,Unmarried,Asian-Pac-Islander,Male,0,0,40,0
30,279923,Some-college,10,Never-married,Not-in-family,Black,Male,0,0,40,0
56,373593,Masters,14,Married-civ-spouse,Husband,White,Male,0,1977,60,1
47,165822,Some-college,10,Divorced,Unmarried,White,Male,0,0,40,0
39,177277,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,45,1
29,210869,Some-college,10,Never-married,Own-child,Black,Male,0,0,80,0
49,102308,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,42,1
18,187770,HS-grad,9,Never-married,Own-child,White,Male,0,0,30,0
49,275074,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,60,0
48,113211,Bachelors,13,Married-civ-spouse,Husband,White,Male,99999,0,40,1
36,238802,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,48,1
40,32533,7th-8th,4,Married-civ-spouse,Husband,White,Male,0,0,30,0
30,182089,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,85,0
19,240686,11th,7,Never-married,Own-child,White,Female,0,0,25,0
37,93225,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,0,0,45,0
24,189749,11th,7,Married-civ-spouse,Husband,White,Male,0,0,40,0
34,355700,HS-grad,9,Separated,Unmarried,White,Female,0,0,20,0
65,85787,7th-8th,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
24,236769,Assoc-acdm,12,Never-married,Own-child,White,Male,0,0,40,0
42,112507,12th,8,Married-civ-spouse,Husband,White,Male,0,0,30,0
47,276087,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,0,0,26,0
49,81535,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,75,1
21,283969,HS-grad,9,Never-married,Own-child,White,Male,0,0,40,0
22,162667,HS-grad,9,Never-married,Own-child,White,Male,0,0,50,0
50,206862,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,65,1
32,222205,Some-college,10,Married-civ-spouse,Wife,White,Female,0,0,40,1
38,31964,9th,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
51,184542,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
27,113464,1st-4th,2,Never-married,Own-child,Other,Male,0,0,35,0
38,65706,Some-college,10,Divorced,Unmarried,White,Female,0,0,38,0
34,362775,10th,6,Married-civ-spouse,Wife,Amer-Indian-Eskimo,Female,0,0,30,0
31,43716,Assoc-voc,11,Divorced,Unmarried,White,Male,0,0,43,0
39,329980,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
18,150675,10th,6,Never-married,Own-child,White,Male,0,0,40,0
23,287988,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,40,0
21,139722,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,0
42,183319,5th-6th,3,Married-civ-spouse,Husband,White,Male,0,0,60,0
38,223237,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,40,1
56,46920,10th,6,Married-civ-spouse,Husband,White,Male,0,0,40,0
43,117471,HS-grad,9,Never-married,Not-in-family,White,Female,0,0,40,0
33,37232,Assoc-voc,11,Divorced,Not-in-family,White,Male,10520,0,80,1
33,275369,7th-8th,4,Separated,Not-in-family,Black,Male,0,0,35,0
78,385242,Bachelors,13,Married-civ-spouse,Husband,White,Male,9386,0,45,1
21,120326,Some-college,10,Never-married,Own-child,White,Female,0,0,40,0
26,155213,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,48,0
21,319163,Some-college,10,Never-married,Own-child,Black,Male,0,0,40,0
23,117618,Some-college,10,Never-married,Own-child,White,Male,0,0,35,0
20,298635,Some-college,10,Never-married,Own-child,Asian-Pac-Islander,Male,0,0,30,0
30,46712,HS-grad,9,Divorced,Not-in-family,White,Female,0,0,40,0
19,246226,HS-grad,9,Never-married,Not-in-family,White,Female,0,0,40,0
48,102092,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
22,311311,Some-college,10,Never-married,Not-in-family,White,Male,0,0,60,0
76,199949,9th,5,Married-civ-spouse,Husband,White,Male,0,0,13,0
40,379917,Assoc-voc,11,Never-married,Not-in-family,White,Male,0,0,32,0
38,308686,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,70,1
38,165848,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,44,0
62,234738,Bachelors,13,Married-civ-spouse,Husband,White,Male,5013,0,50,0
21,186452,Some-college,10,Never-married,Own-child,White,Male,0,0,35,0
55,202652,Bachelors,13,Never-married,Not-in-family,White,Female,0,0,35,0
46,192768,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,40,0
38,372484,11th,7,Never-married,Own-child,Black,Female,0,0,40,0
33,334744,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,50,1
25,190628,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
63,287972,Bachelors,13,Widowed,Other-relative,Black,Female,0,0,20,0
41,203943,12th,8,Married-civ-spouse,Husband,Black,Male,0,0,40,0
27,171356,Assoc-acdm,12,Never-married,Own-child,White,Male,0,0,40,0
42,139012,Doctorate,16,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,1
33,164190,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,7298,0,40,1
19,207173,HS-grad,9,Separated,Unmarried,White,Female,0,0,30,0
50,121411,12th,8,Divorced,Not-in-family,White,Male,0,0,40,0
54,43269,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,50,1
21,210165,9th,5,Married-spouse-absent,Own-child,White,Male,0,0,40,0
23,148709,HS-grad,9,Separated,Other-relative,White,Female,0,0,40,0
40,208277,Bachelors,13,Divorced,Unmarried,White,Female,0,0,35,0
53,283602,Masters,14,Married-civ-spouse,Wife,White,Female,15024,0,40,1
57,139095,HS-grad,9,Divorced,Unmarried,White,Female,0,0,40,0
18,163787,Some-college,10,Never-married,Own-child,White,Female,0,0,15,0
38,110013,Some-college,10,Divorced,Unmarried,White,Female,0,0,43,0
32,131584,HS-grad,9,Married-civ-spouse,Husband,White,Male,7298,0,40,1
54,123011,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
26,294400,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,38,0
49,39986,9th,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
22,123727,Some-college,10,Never-married,Not-in-family,White,Female,0,0,21,0
41,41901,Some-college,10,Never-married,Not-in-family,White,Male,0,1408,40,0
81,176500,12th,8,Widowed,Not-in-family,White,Female,0,0,30,0
36,180752,Bachelors,13,Never-married,Unmarried,Black,Female,0,0,40,0
47,246396,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
19,188815,HS-grad,9,Never-married,Own-child,White,Female,34095,0,20,0
43,175133,Some-college,10,Divorced,Unmarried,Black,Female,0,0,35,0
34,103596,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
41,82049,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
36,103323,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,2829,0,40,0
41,130760,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,24,0
60,240521,HS-grad,9,Married-civ-spouse,Husband,White,Male,7298,0,40,1
19,97261,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,0
56,146391,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,0
37,94331,12th,8,Divorced,Unmarried,White,Female,0,0,40,0
53,55861,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
44,197033,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
32,49398,Bachelors,13,Separated,Not-in-family,White,Male,10520,0,40,1
51,43705,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
32,86150,Bachelors,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,1977,40,1
22,33016,Some-college,10,Never-married,Own-child,White,Male,0,0,40,0
27,191515,Masters,14,Never-married,Not-in-family,White,Male,0,0,45,0
36,105021,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,55,1
62,197514,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,16,0
38,346766,HS-grad,9,Divorced,Unmarried,White,Female,0,0,40,0
52,43705,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,50,0
60,207665,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,40,1
44,259674,Masters,14,Married-civ-spouse,Husband,Black,Male,5178,0,60,1
32,155193,HS-grad,9,Separated,Not-in-family,White,Male,0,0,55,0
67,335979,HS-grad,9,Widowed,Not-in-family,White,Female,991,0,18,0
44,202872,Bachelors,13,Never-married,Not-in-family,White,Female,0,0,45,0
21,54472,HS-grad,9,Never-married,Unmarried,White,Female,0,0,40,0
30,296462,HS-grad,9,Never-married,Not-in-family,Black,Male,0,0,40,0
36,280570,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,45,0
34,123429,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,60,0
42,208347,11th,7,Never-married,Not-in-family,Other,Female,0,0,40,0
48,121124,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
31,109020,Bachelors,13,Never-married,Unmarried,Other,Male,0,0,40,0
25,244408,HS-grad,9,Married-civ-spouse,Own-child,Asian-Pac-Islander,Female,0,0,40,0
41,529216,Bachelors,13,Divorced,Unmarried,Black,Male,7430,0,45,1
23,636017,Some-college,10,Never-married,Own-child,Black,Male,0,0,40,0
47,207120,HS-grad,9,Separated,Not-in-family,White,Male,0,0,44,0
32,72630,Prof-school,15,Never-married,Not-in-family,White,Male,14084,0,55,1
44,335183,12th,8,Married-civ-spouse,Husband,Black,Male,0,0,40,1
55,28151,HS-grad,9,Divorced,Not-in-family,White,Female,0,0,40,1
54,146834,HS-grad,9,Divorced,Not-in-family,White,Male,0,0,45,0
22,116800,Assoc-acdm,12,Never-married,Own-child,White,Male,0,0,60,0
32,103078,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,40,0
54,172281,Masters,14,Divorced,Not-in-family,White,Male,0,0,40,1
39,238415,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,50,1
39,367020,Bachelors,13,Never-married,Own-child,White,Male,0,0,40,0
27,126060,Bachelors,13,Never-married,Not-in-family,White,Female,0,0,40,0
38,171344,11th,7,Married-spouse-absent,Own-child,White,Male,0,0,36,0
27,217848,12th,8,Married-civ-spouse,Husband,White,Male,0,0,40,1
46,207677,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
49,304864,Some-college,10,Divorced,Unmarried,Black,Female,0,0,35,0
25,104439,Some-college,10,Never-married,Not-in-family,White,Female,0,0,50,0
45,188998,Masters,14,Divorced,Not-in-family,White,Male,0,0,38,0
50,69614,10th,6,Separated,Not-in-family,White,Male,0,0,56,0
23,124259,Some-college,10,Never-married,Own-child,Black,Female,0,0,40,0
43,220647,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,2377,50,0
21,36011,Some-college,10,Never-married,Not-in-family,White,Male,0,0,40,0
24,111368,Some-college,10,Never-married,Own-child,White,Female,0,0,40,0
23,173670,Bachelors,13,Married-civ-spouse,Wife,White,Female,0,0,45,0
27,134566,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,0
37,258037,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,45,1
61,231323,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
42,183765,Bachelors,13,Never-married,Not-in-family,White,Male,0,0,50,0
49,330874,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,70,1
31,90668,10th,6,Never-married,Not-in-family,White,Female,0,0,40,0
73,108098,HS-grad,9,Divorced,Not-in-family,White,Female,0,0,32,0
51,182187,Bachelors,13,Never-married,Not-in-family,Black,Male,0,0,35,0
60,137733,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,50,0
38,259972,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
24,123983,11th,7,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,0
36,186808,Bachelors,13,Married-civ-spouse,Own-child,White,Male,0,0,40,1
28,190303,Assoc-acdm,12,Never-married,Other-relative,White,Male,0,0,40,0
57,52267,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,50,1
37,290609,HS-grad,9,Divorced,Unmarried,Black,Female,0,0,40,0
29,132412,Bachelors,13,Never-married,Own-child,White,Male,0,0,40,0
56,188166,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
57,94156,Masters,14,Married-civ-spouse,Husband,White,Male,7688,0,84,1
42,183765,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
50,200783,7th-8th,4,Divorced,Not-in-family,White,Male,0,0,60,0
36,193026,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
73,241121,7th-8th,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
44,46221,Doctorate,16,Never-married,Not-in-family,White,Male,0,0,45,1
20,157595,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
52,57855,Prof-school,15,Married-civ-spouse,Husband,White,Male,0,0,60,1
23,140764,Bachelors,13,Never-married,Own-child,White,Female,0,1590,40,0
19,285263,HS-grad,9,Never-married,Own-child,White,Male,0,0,40,0
43,197093,Bachelors,13,Never-married,Not-in-family,Black,Male,0,0,40,0
53,178356,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,2407,0,99,0
37,159383,HS-grad,9,Divorced,Unmarried,White,Female,0,0,40,0
45,337825,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,45,0
44,228729,HS-grad,9,Married-civ-spouse,Husband,Black,Male,0,0,40,0
59,303176,Some-college,10,Married-civ-spouse,Husband,White,Male,0,2179,40,0
39,103986,HS-grad,9,Never-married,Not-in-family,White,Male,0,1590,40,0
33,186824,Some-college,10,Never-married,Own-child,White,Male,0,0,40,0
23,32897,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,0,0,20,0
29,217200,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
32,131588,Some-college,10,Never-married,Unmarried,Black,Female,0,0,20,0
29,241431,Masters,14,Married-civ-spouse,Husband,White,Male,7298,0,40,1
24,119156,HS-grad,9,Never-married,Own-child,White,Male,0,0,40,0
22,320451,Some-college,10,Never-married,Own-child,Asian-Pac-Islander,Male,0,0,24,0
32,319280,Assoc-acdm,12,Never-married,Not-in-family,White,Male,0,0,80,0
80,151959,HS-grad,9,Widowed,Not-in-family,Black,Male,0,0,15,0
28,19522,Some-college,10,Never-married,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,0
29,134813,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,50,0
57,414994,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,1
26,195636,10th,6,Never-married,Not-in-family,White,Male,0,0,75,1
42,54102,Assoc-voc,11,Divorced,Unmarried,White,Female,0,0,40,0
59,333270,Masters,14,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,0,35,0
36,113481,HS-grad,9,Divorced,Not-in-family,White,Male,0,0,40,0
19,140985,Some-college,10,Never-married,Other-relative,White,Male,0,0,25,0
40,223881,Prof-school,15,Married-civ-spouse,Husband,White,Male,99999,0,70,1
35,107302,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,40,0
28,147719,Some-college,10,Never-married,Not-in-family,Asian-Pac-Islander,Male,0,0,48,0
62,110586,Some-college,10,Widowed,Unmarried,White,Female,0,0,40,0
20,164775,5th-6th,3,Never-married,Other-relative,White,Male,0,0,40,0
41,238384,HS-grad,9,Divorced,Unmarried,White,Female,0,0,40,0
51,159755,Bachelors,13,Married-civ-spouse,Husband,White,Male,7688,0,40,1
20,238917,11th,7,Never-married,Not-in-family,White,Male,0,0,32,0
29,444304,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
29,206903,Prof-school,15,Married-civ-spouse,Husband,White,Male,0,0,55,1
45,187226,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,0,0,40,0
64,66634,7th-8th,4,Married-civ-spouse,Husband,White,Male,0,0,40,0
44,203897,Bachelors,13,Married-spouse-absent,Not-in-family,White,Female,0,0,40,0
53,200576,11th,7,Divorced,Other-relative,White,Female,0,0,40,0
51,123011,HS-grad,9,Married-spouse-absent,Not-in-family,White,Male,0,0,50,0
64,59145,Doctorate,16,Married-civ-spouse,Husband,White,Male,0,1902,60,1
36,31438,HS-grad,9,Divorced,Unmarried,White,Male,0,0,43,0
37,143368,Doctorate,16,Married-civ-spouse,Husband,White,Male,0,0,60,0
24,278107,HS-grad,9,Never-married,Own-child,White,Male,0,0,60,0
33,192644,HS-grad,9,Separated,Unmarried,White,Male,0,0,35,0
33,427812,9th,5,Married-civ-spouse,Husband,White,Male,0,0,40,0
22,324637,Some-college,10,Never-married,Not-in-family,White,Male,0,0,42,0
20,223515,Assoc-acdm,12,Never-married,Own-child,White,Male,0,1719,20,0
42,77373,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,38,0
33,206609,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,45,0
23,129767,Some-college,10,Never-married,Not-in-family,White,Female,0,1721,40,0
25,180783,HS-grad,9,Divorced,Own-child,White,Male,0,0,10,0
50,27484,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,50,1
66,37170,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,42,1
24,166371,HS-grad,9,Never-married,Other-relative,White,Male,0,0,40,0
24,228686,Some-college,10,Never-married,Not-in-family,White,Male,0,0,45,0
39,174242,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
25,230200,Bachelors,13,Married-civ-spouse,Wife,White,Female,0,0,40,0
63,150079,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,35,1
56,233312,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,20,0
36,200904,Assoc-acdm,12,Married-civ-spouse,Wife,Black,Female,0,0,21,0
52,245275,10th,6,Married-civ-spouse,Wife,White,Female,0,0,35,0
46,213408,Some-college,10,Divorced,Unmarried,White,Female,0,0,40,0
30,321990,Some-college,10,Married-civ-spouse,Husband,White,Male,7298,0,48,1
73,144872,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,25,0
27,147280,11th,7,Never-married,Own-child,Other,Male,0,0,40,0
40,121772,Assoc-voc,11,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,1
69,179813,10th,6,Married-civ-spouse,Husband,White,Male,0,0,10,0
40,163985,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,24,0
37,75050,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,0,0,55,0
38,607848,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,40,1
39,52401,Masters,14,Never-married,Not-in-family,White,Female,0,0,50,0
17,211870,9th,5,Never-married,Not-in-family,White,Male,0,0,6,0
25,349190,Assoc-acdm,12,Never-married,Own-child,White,Male,0,0,20,0
34,432204,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,0,0,80,0
28,115438,Bachelors,13,Never-married,Own-child,White,Male,0,0,40,0
41,106900,Masters,14,Married-civ-spouse,Husband,White,Male,7298,0,60,1
43,199657,HS-grad,9,Separated,Unmarried,White,Female,0,0,20,0
63,177832,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,80,0
19,278115,Some-college,10,Never-married,Own-child,White,Male,0,0,12,0
63,231777,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,30,0
26,292353,7th-8th,4,Married-civ-spouse,Husband,Other,Male,0,0,40,0
44,146906,Prof-school,15,Married-civ-spouse,Husband,White,Male,0,0,50,1
31,315128,Some-college,10,Never-married,Not-in-family,White,Female,0,0,52,0
21,161415,Some-college,10,Never-married,Not-in-family,White,Male,0,0,50,0
37,295949,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,0
22,217421,Some-college,10,Never-married,Own-child,White,Female,0,0,30,0
50,34067,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,0,0,50,1
39,165848,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,50,0
23,85139,HS-grad,9,Never-married,Not-in-family,White,Female,0,0,40,0
56,197369,7th-8th,4,Married-civ-spouse,Husband,White,Male,0,0,40,1
47,343742,HS-grad,9,Separated,Unmarried,Black,Male,0,0,40,0
19,73009,Some-college,10,Never-married,Own-child,White,Male,0,0,15,0
39,123945,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,40,1
23,314823,Some-college,10,Never-married,Own-child,White,Male,0,0,24,0
42,67243,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,50,0
41,190205,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,45,0
37,202683,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,48,1
47,77102,Masters,14,Divorced,Not-in-family,White,Male,0,0,40,0
81,143732,1st-4th,2,Widowed,Not-in-family,White,Male,0,0,30,0
23,217169,Bachelors,13,Never-married,Own-child,White,Female,0,0,40,0
35,301614,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,60,0
20,352139,Some-college,10,Divorced,Own-child,White,Female,0,0,29,0
46,190115,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,0,0,40,1
41,145522,Bachelors,13,Never-married,Not-in-family,White,Female,0,0,45,0
17,262031,12th,8,Never-married,Other-relative,White,Male,0,0,20,0
41,233150,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,60,0
47,46537,HS-grad,9,Never-married,Not-in-family,White,Female,0,0,40,0
32,443546,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,0
20,369678,12th,8,Never-married,Not-in-family,Other,Male,0,1602,40,0
48,280422,Some-college,10,Separated,Not-in-family,White,Female,0,0,25,0
23,123586,Some-college,10,Never-married,Own-child,Other,Male,0,0,25,0
66,174995,Assoc-acdm,12,Married-civ-spouse,Husband,White,Male,2290,0,30,0
37,410919,HS-grad,9,Never-married,Own-child,White,Male,0,0,35,0
36,148143,HS-grad,9,Never-married,Other-relative,Black,Female,0,0,40,0
59,169611,HS-grad,9,Divorced,Unmarried,White,Female,0,0,40,0
34,269723,HS-grad,9,Divorced,Unmarried,White,Female,2977,0,50,0
25,139012,Bachelors,13,Never-married,Own-child,Asian-Pac-Islander,Male,2174,0,40,0
49,72619,Some-college,10,Divorced,Unmarried,White,Female,0,0,50,0
44,136546,Doctorate,16,Married-civ-spouse,Husband,White,Male,0,1902,40,1
21,164991,HS-grad,9,Divorced,Unmarried,Amer-Indian-Eskimo,Female,0,0,38,0
51,166461,Doctorate,16,Married-civ-spouse,Wife,Black,Female,0,0,40,1
43,227065,Masters,14,Married-civ-spouse,Husband,White,Male,0,0,43,1
42,348059,Doctorate,16,Divorced,Not-in-family,White,Male,0,0,60,0
52,71489,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,1579,40,0
52,266138,Assoc-voc,11,Married-civ-spouse,Husband,White,Male,0,0,35,0
27,321896,HS-grad,9,Never-married,Not-in-family,White,Male,0,0,40,0
19,133983,Some-college,10,Never-married,Own-child,White,Female,0,0,20,0
35,172252,Some-college,10,Divorced,Not-in-family,White,Female,0,0,40,0
47,178686,Assoc-voc,11,Never-married,Not-in-family,White,Male,0,0,40,0
44,190020,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,50,0
55,289257,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,40,0
21,148294,HS-grad,9,Never-married,Own-child,White,Male,0,0,20,0
56,102106,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,0
33,202046,Bachelors,13,Married-civ-spouse,Husband,White,Male,0,0,45,1
26,164018,Bachelors,13,Married-civ-spouse,Husband,White,Male,4064,0,50,0
23,215616,HS-grad,9,Never-married,Not-in-family,White,Female,0,0,45,0
18,211344,HS-grad,9,Never-married,Own-child,White,Male,0,0,40,0
41,102085,HS-grad,9,Never-married,Unmarried,White,Female,0,0,40,0
49,157569,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,46,0
18,150817,HS-grad,9,Never-married,Own-child,White,Female,0,0,20,0
47,205100,Some-college,10,Married-civ-spouse,Husband,White,Male,0,0,45,1
39,51100,HS-grad,9,Married-civ-spouse,Husband,White,Male,0,0,40,1
42,280410,HS-grad,9,Married-civ-spouse,Husband,Black,Male,0,0,40,0
30,27856,HS-grad,9,Married-civ-spouse,Wife,White,Female,0,0,40,0
49,259323,HS-grad,9,Divorced,Unmarried,White,Male,0,0,40,0
27,189565,Some-college,10,Never-married,Not-in-family,White,Male,0,0,40,0
