SEQID,AGEG5LFS,GENDER_R,U01b000A,U01B_Collapsed_AS_Cleaned,U01b000S,U01b000T,PVLIT1,PVNUM1,ActionSeqOrder
7,50-54,Male,15,TOOLBAR_ENVIRONMENT,0,121149,279.72735,255.48236,10
7,50-54,Male,15,TEXTBOX_ONFOCUS,0,121149,279.72735,255.48236,11
7,50-54,Male,15,TEXTBOX_KILLFOCUS,0,121149,279.72735,255.48236,12
7,50-54,Male,15,NEXT_INQUIRY,0,121149,279.72735,255.48236,13
7,50-54,Male,15,TEXTBOX_ONFOCUS,0,121149,279.72735,255.48236,14
7,50-54,Male,15,TEXTBOX_KILLFOCUS,0,121149,279.72735,255.48236,15
8,50-54,Male,48,FOLDER_VIEWED,1,166891,355.7788,361.84229,0
8,50-54,Male,48,MENU,1,166891,355.7788,361.84229,1
8,50-54,Male,48,MENUITEM,1,166891,355.7788,361.84229,2
8,50-54,Male,48,TEXTBOX_ONFOCUS,1,166891,355.7788,361.84229,3
8,50-54,Male,48,TEXTBOX_USE,1,166891,355.7788,361.84229,4
8,50-54,Male,48,TEXTBOX_KILLFOCUS,1,166891,355.7788,361.84229,5
8,50-54,Male,48,BUTTON,1,166891,355.7788,361.84229,6
8,50-54,Male,48,FOLDER_VIEWED,1,166891,355.7788,361.84229,7
8,50-54,Male,48,NEW_FOLDER,1,166891,355.7788,361.84229,8
8,50-54,Male,48,FOLDER_VIEWED,1,166891,355.7788,361.84229,9
8,50-54,Male,48,MAIL_VIEWED,1,166891,355.7788,361.84229,10
8,50-54,Male,48,MAIL_DRAG,1,166891,355.7788,361.84229,11
8,50-54,Male,48,MAIL_VIEWED,1,166891,355.7788,361.84229,12
8,50-54,Male,48,FOLDER_VIEWED,1,166891,355.7788,361.84229,13
8,50-54,Male,48,MAIL_DROP,1,166891,355.7788,361.84229,14
8,50-54,Male,48,MAIL_MOVED,1,166891,355.7788,361.84229,15
8,50-54,Male,48,MAIL_VIEWED,1,166891,355.7788,361.84229,16
8,50-54,Male,48,MAIL_DRAG,1,166891,355.7788,361.84229,17
8,50-54,Male,48,FOLDER_VIEWED,1,166891,355.7788,361.84229,18
8,50-54,Male,48,MAIL_DROP,1,166891,355.7788,361.84229,19
8,50-54,Male,48,MAIL_MOVED,1,166891,355.7788,361.84229,20
8,50-54,Male,48,MAIL_VIEWED,1,166891,355.7788,361.84229,21
8,50-54,Male,48,MAIL_DRAG,1,166891,355.7788,361.84229,22
8,50-54,Male,48,MAIL_VIEWED,1,166891,355.7788,361.84229,23
8,50-54,Male,48,FOLDER_VIEWED,1,166891,355.7788,361.84229,24
8,50-54,Male,48,MAIL_DROP,1,166891,355.7788,361.84229,25
8,50-54,Male,48,MAIL_MOVED,1,166891,355.7788,361.84229,26
8,50-54,Male,48,MAIL_VIEWED,1,166891,355.7788,361.84229,27
8,50-54,Male,48,MAIL_DRAG,1,166891,355.7788,361.84229,28
8,50-54,Male,48,FOLDER_VIEWED,1,166891,355.7788,361.84229,29
8,50-54,Male,48,MAIL_DROP,1,166891,355.7788,361.84229,30
8,50-54,Male,48,MAIL_MOVED,1,166891,355.7788,361.84229,31
8,50-54,Male,48,MAIL_VIEWED,1,166891,355.7788,361.84229,32
8,50-54,Male,48,MAIL_DRAG,1,166891,355.7788,361.84229,33
8,50-54,Male,48,FOLDER_VIEWED,1,166891,355.7788,361.84229,34
8,50-54,Male,48,MAIL_DROP,1,166891,355.7788,361.84229,35
8,50-54,Male,48,MAIL_MOVED,1,166891,355.7788,361.84229,36
8,50-54,Male,48,NEXT_INQUIRY,1,166891,355.7788,361.84229,37
9,45-49,Female,32,FOLDER_VIEWED,0,159229,248.2532,208.04316,0
9,45-49,Female,32,FOLDER_UNFOLDED,0,159229,248.2532,208.04316,1
9,45-49,Female,32,FOLDER_VIEWED,0,159229,248.2532,208.04316,2
9,45-49,Female,32,TOOLBAR,0,159229,248.2532,208.04316,3
9,45-49,Female,32,MENU,0,159229,248.2532,208.04316,4
9,45-49,Female,32,MENUITEM,0,159229,248.2532,208.04316,5
9,45-49,Female,32,TEXTBOX_ONFOCUS,0,159229,248.2532,208.04316,6
9,45-49,Female,32,TEXTBOX_KILLFOCUS,0,159229,248.2532,208.04316,7
9,45-49,Female,32,MENU,0,159229,248.2532,208.04316,8
9,45-49,Female,32,TEXTBOX_ONFOCUS,0,159229,248.2532,208.04316,9
9,45-49,Female,32,TEXTBOX_KILLFOCUS,0,159229,248.2532,208.04316,10
9,45-49,Female,32,MENU,0,159229,248.2532,208.04316,11
9,45-49,Female,32,TEXTBOX_ONFOCUS,0,159229,248.2532,208.04316,12
9,45-49,Female,32,TEXTBOX_KILLFOCUS,0,159229,248.2532,208.04316,13
9,45-49,Female,32,MENU,0,159229,248.2532,208.04316,14
9,45-49,Female,32,TEXTBOX_ONFOCUS,0,159229,248.2532,208.04316,15
9,45-49,Female,32,TEXTBOX_KILLFOCUS,0,159229,248.2532,208.04316,16
9,45-49,Female,32,TEXTBOX_ONFOCUS,0,159229,248.2532,208.04316,17
9,45-49,Female,32,TEXTBOX_KILLFOCUS,0,159229,248.2532,208.04316,18
9,45-49,Female,32,MENU,0,159229,248.2532,208.04316,19
9,45-49,Female,32,TEXTBOX_ONFOCUS,0,159229,248.2532,208.04316,20
9,45-49,Female,32,TEXTBOX_KILLFOCUS,0,159229,248.2532,208.04316,21
9,45-49,Female,32,MENUITEM,0,159229,248.2532,208.04316,22
9,45-49,Female,32,TEXTBOX_ONFOCUS,0,159229,248.2532,208.04316,23
9,45-49,Female,32,TEXTBOX_KILLFOCUS,0,159229,248.2532,208.04316,24
9,45-49,Female,32,TEXTBOX_ONFOCUS,0,159229,248.2532,208.04316,25
9,45-49,Female,32,TEXTBOX_USE,0,159229,248.2532,208.04316,26
9,45-49,Female,32,TEXTBOX_KILLFOCUS,0,159229,248.2532,208.04316,27
9,45-49,Female,32,FOLDER_VIEWED,0,159229,248.2532,208.04316,28
9,45-49,Female,32,NEW_FOLDER,0,159229,248.2532,208.04316,29
9,45-49,Female,32,NEXT_INQUIRY,0,159229,248.2532,208.04316,30
10,35-39,Male,33,FOLDER_VIEWED,0,212681,308.71697,268.19213,0
10,35-39,Male,33,MAIL_VIEWED,0,212681,308.71697,268.19213,1
10,35-39,Male,33,TOOLBAR,0,212681,308.71697,268.19213,2
10,35-39,Male,33,FOLDER_VIEWED,0,212681,308.71697,268.19213,3
10,35-39,Male,33,MAIL_MOVED,0,212681,308.71697,268.19213,4
10,35-39,Male,33,MAIL_VIEWED,0,212681,308.71697,268.19213,5
10,35-39,Male,33,TOOLBAR,0,212681,308.71697,268.19213,6
10,35-39,Male,33,FOLDER_VIEWED,0,212681,308.71697,268.19213,7
10,35-39,Male,33,MAIL_MOVED,0,212681,308.71697,268.19213,8
10,35-39,Male,33,MAIL_VIEWED,0,212681,308.71697,268.19213,9
10,35-39,Male,33,TOOLBAR,0,212681,308.71697,268.19213,10
10,35-39,Male,33,FOLDER_VIEWED,0,212681,308.71697,268.19213,11
10,35-39,Male,33,MAIL_MOVED,0,212681,308.71697,268.19213,12
10,35-39,Male,33,MAIL_VIEWED,0,212681,308.71697,268.19213,13
10,35-39,Male,33,TOOLBAR,0,212681,308.71697,268.19213,14
10,35-39,Male,33,FOLDER_VIEWED,0,212681,308.71697,268.19213,15
10,35-39,Male,33,MAIL_MOVED,0,212681,308.71697,268.19213,16
10,35-39,Male,33,MAIL_VIEWED,0,212681,308.71697,268.19213,17
10,35-39,Male,33,TOOLBAR,0,212681,308.71697,268.19213,18
10,35-39,Male,33,FOLDER_VIEWED,0,212681,308.71697,268.19213,19
10,35-39,Male,33,MAIL_MOVED,0,212681,308.71697,268.19213,20
10,35-39,Male,33,NEXT_INQUIRY,0,212681,308.71697,268.19213,21
12,60-65,Male,56,FOLDER_VIEWED,1,293959,295.12664,278.29156,0
12,60-65,Male,56,MENU,1,293959,295.12664,278.29156,1
12,60-65,Male,56,MENUITEM,1,293959,295.12664,278.29156,2
12,60-65,Male,56,TEXTBOX_ONFOCUS,1,293959,295.12664,278.29156,3
12,60-65,Male,56,TEXTBOX_USE,1,293959,295.12664,278.29156,4
12,60-65,Male,56,TEXTBOX_KILLFOCUS,1,293959,295.12664,278.29156,5
12,60-65,Male,56,BUTTON,1,293959,295.12664,278.29156,6
12,60-65,Male,56,FOLDER_VIEWED,1,293959,295.12664,278.29156,7
12,60-65,Male,56,NEW_FOLDER,1,293959,295.12664,278.29156,8
12,60-65,Male,56,FOLDER_VIEWED,1,293959,295.12664,278.29156,9
12,60-65,Male,56,MAIL_VIEWED,1,293959,295.12664,278.29156,10
12,60-65,Male,56,MAIL_DRAG,1,293959,295.12664,278.29156,11
12,60-65,Male,56,FOLDER_VIEWED,1,293959,295.12664,278.29156,12
12,60-65,Male,56,MAIL_DROP,1,293959,295.12664,278.29156,13
12,60-65,Male,56,MAIL_MOVED,1,293959,295.12664,278.29156,14
12,60-65,Male,56,MAIL_VIEWED,1,293959,295.12664,278.29156,15
12,60-65,Male,56,MAIL_DRAG,1,293959,295.12664,278.29156,16
12,60-65,Male,56,FOLDER_VIEWED,1,293959,295.12664,278.29156,17
12,60-65,Male,56,MAIL_DROP,1,293959,295.12664,278.29156,18
12,60-65,Male,56,MAIL_MOVED,1,293959,295.12664,278.29156,19
12,60-65,Male,56,MAIL_VIEWED,1,293959,295.12664,278.29156,20
12,60-65,Male,56,MAIL_DRAG,1,293959,295.12664,278.29156,21
12,60-65,Male,56,FOLDER_VIEWED,1,293959,295.12664,278.29156,22
12,60-65,Male,56,MAIL_DROP,1,293959,295.12664,278.29156,23
12,60-65,Male,56,MAIL_MOVED,1,293959,295.12664,278.29156,24
12,60-65,Male,56,MAIL_VIEWED,1,293959,295.12664,278.29156,25
12,60-65,Male,56,MAIL_DRAG,1,293959,295.12664,278.29156,26
12,60-65,Male,56,FOLDER_VIEWED,1,293959,295.12664,278.29156,27
12,60-65,Male,56,MAIL_DROP,1,293959,295.12664,278.29156,28
12,60-65,Male,56,MAIL_MOVED,1,293959,295.12664,278.29156,29
12,60-65,Male,56,MAIL_VIEWED,1,293959,295.12664,278.29156,30
12,60-65,Male,56,MAIL_DRAG,1,293959,295.12664,278.29156,31
12,60-65,Male,56,FOLDER_VIEWED,1,293959,295.12664,278.29156,32
12,60-65,Male,56,MAIL_DROP,1,293959,295.12664,278.29156,33
12,60-65,Male,56,MAIL_MOVED,1,293959,295.12664,278.29156,34
12,60-65,Male,56,FOLDER_VIEWED,1,293959,295.12664,278.29156,35
12,60-65,Male,56,MAIL_VIEWED,1,293959,295.12664,278.29156,36
12,60-65,Male,56,NEXT_INQUIRY,1,293959,295.12664,278.29156,37
14,25-29,Female,7,TOOLBAR,0,78052,192.70901,153.59543,0
14,25-29,Female,7,TEXTBOX_ONFOCUS,0,78052,192.70901,153.59543,1
14,25-29,Female,7,TEXTBOX_USE,0,78052,192.70901,153.59543,2
14,25-29,Female,7,TEXTBOX_KILLFOCUS,0,78052,192.70901,153.59543,3
14,25-29,Female,7,BUTTON,0,78052,192.70901,153.59543,4
14,25-29,Female,7,NEXT_INQUIRY,0,78052,192.70901,153.59543,5
16,25-29,Male,36,MAIL_VIEWED,1,190663,247.37499,215.97345,0
16,25-29,Male,36,MENU,1,190663,247.37499,215.97345,1
16,25-29,Male,36,MENUITEM,1,190663,247.37499,215.97345,2
16,25-29,Male,36,TEXTBOX_ONFOCUS,1,190663,247.37499,215.97345,3
16,25-29,Male,36,TEXTBOX_USE,1,190663,247.37499,215.97345,4
16,25-29,Male,36,TEXTBOX_KILLFOCUS,1,190663,247.37499,215.97345,5
16,25-29,Male,36,BUTTON,1,190663,247.37499,215.97345,6
16,25-29,Male,36,FOLDER_VIEWED,1,190663,247.37499,215.97345,7
16,25-29,Male,36,NEW_FOLDER,1,190663,247.37499,215.97345,8
16,25-29,Male,36,MAIL_VIEWED,1,190663,247.37499,215.97345,9
16,25-29,Male,36,TOOLBAR,1,190663,247.37499,215.97345,10
16,25-29,Male,36,FOLDER_VIEWED,1,190663,247.37499,215.97345,11
16,25-29,Male,36,MAIL_MOVED,1,190663,247.37499,215.97345,12
16,25-29,Male,36,MAIL_VIEWED,1,190663,247.37499,215.97345,13
16,25-29,Male,36,TOOLBAR,1,190663,247.37499,215.97345,14
16,25-29,Male,36,FOLDER_VIEWED,1,190663,247.37499,215.97345,15
16,25-29,Male,36,MAIL_MOVED,1,190663,247.37499,215.97345,16
16,25-29,Male,36,MAIL_VIEWED,1,190663,247.37499,215.97345,17
16,25-29,Male,36,TOOLBAR,1,190663,247.37499,215.97345,18
16,25-29,Male,36,FOLDER_VIEWED,1,190663,247.37499,215.97345,19
16,25-29,Male,36,MAIL_MOVED,1,190663,247.37499,215.97345,20
16,25-29,Male,36,MAIL_VIEWED,1,190663,247.37499,215.97345,21
16,25-29,Male,36,TOOLBAR,1,190663,247.37499,215.97345,22
16,25-29,Male,36,FOLDER_VIEWED,1,190663,247.37499,215.97345,23
16,25-29,Male,36,MAIL_MOVED,1,190663,247.37499,215.97345,24
16,25-29,Male,36,MAIL_VIEWED,1,190663,247.37499,215.97345,25
16,25-29,Male,36,TOOLBAR,1,190663,247.37499,215.97345,26
16,25-29,Male,36,FOLDER_VIEWED,1,190663,247.37499,215.97345,27
16,25-29,Male,36,MAIL_MOVED,1,190663,247.37499,215.97345,28
16,25-29,Male,36,NEXT_INQUIRY,1,190663,247.37499,215.97345,29
18,16-19,Male,0,NEXT_INQUIRY,0,4235,266.55254,240.94475,0
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,0
19,40-44,Male,45,MENU,1,149218,327.91965,314.05953,1
19,40-44,Male,45,MENUITEM,1,149218,327.91965,314.05953,2
19,40-44,Male,45,TEXTBOX_ONFOCUS,1,149218,327.91965,314.05953,3
19,40-44,Male,45,TEXTBOX_USE,1,149218,327.91965,314.05953,4
19,40-44,Male,45,TEXTBOX_KILLFOCUS,1,149218,327.91965,314.05953,5
19,40-44,Male,45,BUTTON,1,149218,327.91965,314.05953,6
19,40-44,Male,45,FOLDER_VIEWED,1,149218,327.91965,314.05953,7
19,40-44,Male,45,NEW_FOLDER,1,149218,327.91965,314.05953,8
19,40-44,Male,45,MAIL_DRAG,1,149218,327.91965,314.05953,9
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,10
19,40-44,Male,45,FOLDER_VIEWED,1,149218,327.91965,314.05953,11
19,40-44,Male,45,MAIL_DROP,1,149218,327.91965,314.05953,12
19,40-44,Male,45,MAIL_MOVED,1,149218,327.91965,314.05953,13
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,14
19,40-44,Male,45,MAIL_DRAG,1,149218,327.91965,314.05953,15
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,16
19,40-44,Male,45,FOLDER_VIEWED,1,149218,327.91965,314.05953,17
19,40-44,Male,45,MAIL_DROP,1,149218,327.91965,314.05953,18
19,40-44,Male,45,MAIL_MOVED,1,149218,327.91965,314.05953,19
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,20
19,40-44,Male,45,MAIL_DRAG,1,149218,327.91965,314.05953,21
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,22
19,40-44,Male,45,FOLDER_VIEWED,1,149218,327.91965,314.05953,23
19,40-44,Male,45,MAIL_DROP,1,149218,327.91965,314.05953,24
19,40-44,Male,45,MAIL_MOVED,1,149218,327.91965,314.05953,25
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,26
19,40-44,Male,45,MAIL_DRAG,1,149218,327.91965,314.05953,27
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,28
19,40-44,Male,45,FOLDER_VIEWED,1,149218,327.91965,314.05953,29
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,30
19,40-44,Male,45,MAIL_DRAG,1,149218,327.91965,314.05953,31
19,40-44,Male,45,FOLDER_VIEWED,1,149218,327.91965,314.05953,32
19,40-44,Male,45,MAIL_DROP,1,149218,327.91965,314.05953,33
19,40-44,Male,45,MAIL_MOVED,1,149218,327.91965,314.05953,34
19,40-44,Male,45,FOLDER_VIEWED,1,149218,327.91965,314.05953,35
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,36
19,40-44,Male,45,MAIL_DRAG,1,149218,327.91965,314.05953,37
19,40-44,Male,45,FOLDER_VIEWED,1,149218,327.91965,314.05953,38
19,40-44,Male,45,MAIL_DROP,1,149218,327.91965,314.05953,39
19,40-44,Male,45,MAIL_MOVED,1,149218,327.91965,314.05953,40
19,40-44,Male,45,FOLDER_VIEWED,1,149218,327.91965,314.05953,41
19,40-44,Male,45,MAIL_VIEWED,1,149218,327.91965,314.05953,42
19,40-44,Male,45,NEXT_INQUIRY,1,149218,327.91965,314.05953,43
24,55-59,Female,43,FOLDER_VIEWED,1,224763,280.53942,278.36305,0
24,55-59,Female,43,MENU,1,224763,280.53942,278.36305,1
24,55-59,Female,43,FOLDER_VIEWED,1,224763,280.53942,278.36305,2
24,55-59,Female,43,MAIL_VIEWED,1,224763,280.53942,278.36305,3
24,55-59,Female,43,MENU,1,224763,280.53942,278.36305,4
24,55-59,Female,43,FOLDER_UNFOLDED,1,224763,280.53942,278.36305,5
24,55-59,Female,43,FOLDER_FOLDED,1,224763,280.53942,278.36305,6
24,55-59,Female,43,MENU,1,224763,280.53942,278.36305,7
24,55-59,Female,43,MENUITEM,1,224763,280.53942,278.36305,8
24,55-59,Female,43,TEXTBOX_ONFOCUS,1,224763,280.53942,278.36305,9
24,55-59,Female,43,TEXTBOX_USE,1,224763,280.53942,278.36305,10
24,55-59,Female,43,TEXTBOX_KILLFOCUS,1,224763,280.53942,278.36305,11
24,55-59,Female,43,FOLDER_VIEWED,1,224763,280.53942,278.36305,12
24,55-59,Female,43,NEW_FOLDER,1,224763,280.53942,278.36305,13
24,55-59,Female,43,MAIL_VIEWED,1,224763,280.53942,278.36305,14
24,55-59,Female,43,MENU,1,224763,280.53942,278.36305,15
24,55-59,Female,43,MENUITEM,1,224763,280.53942,278.36305,16
24,55-59,Female,43,FOLDER_VIEWED,1,224763,280.53942,278.36305,17
24,55-59,Female,43,MAIL_MOVED,1,224763,280.53942,278.36305,18
24,55-59,Female,43,MAIL_VIEWED,1,224763,280.53942,278.36305,19
24,55-59,Female,43,MENU,1,224763,280.53942,278.36305,20
24,55-59,Female,43,MENUITEM,1,224763,280.53942,278.36305,21
24,55-59,Female,43,FOLDER_VIEWED,1,224763,280.53942,278.36305,22
24,55-59,Female,43,MAIL_MOVED,1,224763,280.53942,278.36305,23
24,55-59,Female,43,MAIL_VIEWED,1,224763,280.53942,278.36305,24
24,55-59,Female,43,MENU,1,224763,280.53942,278.36305,25
24,55-59,Female,43,MENUITEM,1,224763,280.53942,278.36305,26
24,55-59,Female,43,FOLDER_VIEWED,1,224763,280.53942,278.36305,27
24,55-59,Female,43,MAIL_MOVED,1,224763,280.53942,278.36305,28
24,55-59,Female,43,MAIL_VIEWED,1,224763,280.53942,278.36305,29
24,55-59,Female,43,MENU,1,224763,280.53942,278.36305,30
24,55-59,Female,43,MENUITEM,1,224763,280.53942,278.36305,31
24,55-59,Female,43,FOLDER_VIEWED,1,224763,280.53942,278.36305,32
24,55-59,Female,43,MAIL_MOVED,1,224763,280.53942,278.36305,33
24,55-59,Female,43,MAIL_VIEWED,1,224763,280.53942,278.36305,34
24,55-59,Female,43,NEXT_INQUIRY,1,224763,280.53942,278.36305,35
25,50-54,Male,5,FOLDER_VIEWED,0,129907,293.71931,313.18821,0
25,50-54,Male,5,NEXT_INQUIRY,0,129907,293.71931,313.18821,1
26,50-54,Male,36,FOLDER_VIEWED,1,198517,304.85888,322.07024,0
26,50-54,Male,36,FOLDER_UNFOLDED,1,198517,304.85888,322.07024,1
26,50-54,Male,36,FOLDER_VIEWED,1,198517,304.85888,322.07024,2
26,50-54,Male,36,MENU,1,198517,304.85888,322.07024,3
26,50-54,Male,36,MENUITEM,1,198517,304.85888,322.07024,4
26,50-54,Male,36,TEXTBOX_ONFOCUS,1,198517,304.85888,322.07024,5
26,50-54,Male,36,TEXTBOX_USE,1,198517,304.85888,322.07024,6
26,50-54,Male,36,TEXTBOX_KILLFOCUS,1,198517,304.85888,322.07024,7
26,50-54,Male,36,BUTTON,1,198517,304.85888,322.07024,8
26,50-54,Male,36,FOLDER_VIEWED,1,198517,304.85888,322.07024,9
26,50-54,Male,36,NEW_FOLDER,1,198517,304.85888,322.07024,10
26,50-54,Male,36,FOLDER_FOLDED,1,198517,304.85888,322.07024,11
26,50-54,Male,36,MAIL_VIEWED,1,198517,304.85888,322.07024,12
26,50-54,Male,36,MAIL_DRAG,1,198517,304.85888,322.07024,13
26,50-54,Male,36,FOLDER_VIEWED,1,198517,304.85888,322.07024,14
26,50-54,Male,36,MAIL_DROP,1,198517,304.85888,322.07024,15
26,50-54,Male,36,MAIL_MOVED,1,198517,304.85888,322.07024,16
26,50-54,Male,36,MAIL_VIEWED,1,198517,304.85888,322.07024,17
26,50-54,Male,36,MAIL_DRAG,1,198517,304.85888,322.07024,18
26,50-54,Male,36,FOLDER_VIEWED,1,198517,304.85888,322.07024,19
26,50-54,Male,36,MAIL_DROP,1,198517,304.85888,322.07024,20
26,50-54,Male,36,MAIL_MOVED,1,198517,304.85888,322.07024,21
26,50-54,Male,36,MAIL_VIEWED,1,198517,304.85888,322.07024,22
26,50-54,Male,36,MAIL_DRAG,1,198517,304.85888,322.07024,23
26,50-54,Male,36,FOLDER_VIEWED,1,198517,304.85888,322.07024,24
26,50-54,Male,36,MAIL_DROP,1,198517,304.85888,322.07024,25
26,50-54,Male,36,MAIL_MOVED,1,198517,304.85888,322.07024,26
26,50-54,Male,36,MAIL_VIEWED,1,198517,304.85888,322.07024,27
26,50-54,Male,36,MAIL_DRAG,1,198517,304.85888,322.07024,28
26,50-54,Male,36,FOLDER_VIEWED,1,198517,304.85888,322.07024,29
26,50-54,Male,36,MAIL_DROP,1,198517,304.85888,322.07024,30
26,50-54,Male,36,MAIL_MOVED,1,198517,304.85888,322.07024,31
