AGEP,SCHL,SEX,ESP,CIT,MIG,MIL,ANC,DEAR,DEYE,DREM,PINCP,ESR,FER,label
59.0,16.0,2.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,96000.0,1.0,0.0,False
13.0,10.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
11.0,9.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,True
29.0,19.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,42000.0,1.0,0.0,False
82.0,23.0,1.0,0.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,79400.0,6.0,0.0,True
37.0,16.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,53000.0,1.0,0.0,False
63.0,9.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,55600.0,6.0,0.0,False
36.0,20.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,105000.0,1.0,0.0,False
81.0,24.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,24800.0,6.0,0.0,True
80.0,19.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3200.0,6.0,0.0,False
9.0,6.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
59.0,21.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,28500.0,1.0,0.0,True
16.0,13.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,True
74.0,19.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,20100.0,6.0,0.0,False
32.0,24.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,565200.0,1.0,0.0,False
94.0,19.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,39900.0,6.0,0.0,False
21.0,18.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,21500.0,1.0,0.0,False
57.0,20.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,70000.0,1.0,0.0,False
65.0,16.0,2.0,0.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,3900.0,6.0,0.0,False
51.0,18.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,117000.0,1.0,0.0,False
65.0,19.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,84410.0,2.0,0.0,False
43.0,19.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,20000.0,6.0,0.0,False
29.0,21.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,8500.0,1.0,0.0,False
75.0,19.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,92600.0,1.0,0.0,False
56.0,20.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,100000.0,1.0,0.0,False
30.0,16.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,23600.0,6.0,0.0,False
52.0,16.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,26000.0,1.0,0.0,False
10.0,6.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
78.0,21.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1740.0,6.0,0.0,True
70.0,21.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1500.0,6.0,0.0,True
34.0,16.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,20000.0,1.0,1.0,True
55.0,18.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,60000.0,1.0,0.0,False
20.0,16.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,False
75.0,21.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,40800.0,6.0,0.0,True
17.0,14.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,6.0,2.0,False
15.0,13.0,2.0,5.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,False
38.0,19.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,False
77.0,21.0,2.0,0.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,85000.0,6.0,0.0,True
60.0,19.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,25100.0,6.0,0.0,False
66.0,21.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,6000.0,6.0,0.0,True
55.0,24.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,105000.0,1.0,0.0,False
89.0,11.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,6100.0,6.0,0.0,False
36.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,1500.0,6.0,2.0,False
30.0,10.0,2.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,6.0,2.0,False
34.0,21.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,160000.0,1.0,0.0,False
60.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,10500.0,6.0,0.0,False
8.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,False
51.0,22.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,190000.0,1.0,0.0,False
43.0,19.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,0.0,6.0,0.0,False
24.0,21.0,2.0,0.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,20000.0,1.0,2.0,False
31.0,21.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,70050.0,1.0,0.0,False
86.0,16.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,31000.0,6.0,0.0,True
68.0,18.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,14100.0,1.0,0.0,False
23.0,21.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,24000.0,1.0,2.0,False
54.0,17.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,135260.0,1.0,0.0,False
15.0,12.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,False
7.0,5.0,1.0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,False
17.0,14.0,2.0,7.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,False
60.0,15.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,20000.0,1.0,0.0,True
52.0,22.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,83000.0,2.0,0.0,False
35.0,21.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,36000.0,2.0,2.0,False
50.0,22.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,False
42.0,15.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,8000.0,1.0,0.0,False
36.0,19.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,False
83.0,13.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,39300.0,6.0,0.0,False
47.0,9.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,15000.0,1.0,2.0,False
18.0,18.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1900.0,1.0,2.0,False
71.0,10.0,2.0,0.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,16400.0,1.0,0.0,True
68.0,19.0,1.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,104800.0,1.0,0.0,False
23.0,21.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,26150.0,1.0,0.0,False
67.0,22.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,5000.0,1.0,0.0,False
50.0,20.0,1.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,50000.0,1.0,0.0,False
19.0,19.0,1.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3000.0,1.0,0.0,True
39.0,21.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,100000.0,1.0,0.0,False
71.0,1.0,1.0,0.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,29600.0,1.0,0.0,False
23.0,16.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,0.0,6.0,0.0,False
60.0,14.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,False
40.0,16.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,False
42.0,21.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,1.0,False
37.0,16.0,2.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,36000.0,1.0,2.0,False
8.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
57.0,16.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,32000.0,1.0,0.0,False
70.0,5.0,2.0,0.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,6.0,0.0,False
40.0,22.0,1.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,True
11.0,9.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,False
94.0,19.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,39000.0,6.0,0.0,True
32.0,21.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,45000.0,1.0,0.0,False
12.0,9.0,1.0,2.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,True
8.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
63.0,21.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,565000.0,1.0,0.0,False
49.0,23.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,96000.0,1.0,0.0,False
18.0,15.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,300.0,3.0,2.0,False
64.0,16.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,15000.0,6.0,0.0,False
45.0,21.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,900.0,2.0,2.0,False
13.0,10.0,1.0,7.0,1.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,True
77.0,21.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,24000.0,6.0,0.0,False
72.0,17.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,21000.0,1.0,0.0,False
62.0,21.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,55200.0,1.0,0.0,False
34.0,16.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,38000.0,1.0,1.0,False
73.0,16.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,20400.0,6.0,0.0,False
13.0,10.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
77.0,22.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,57100.0,6.0,0.0,False
74.0,16.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,16200.0,3.0,0.0,True
29.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2700.0,6.0,2.0,False
76.0,18.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,40900.0,6.0,0.0,True
34.0,17.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2700.0,1.0,0.0,False
44.0,21.0,2.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,108000.0,1.0,2.0,False
21.0,16.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,12600.0,1.0,0.0,True
48.0,9.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,42000.0,1.0,0.0,False
7.0,4.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
87.0,17.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,32800.0,6.0,0.0,False
34.0,22.0,1.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,120000.0,1.0,0.0,False
66.0,21.0,1.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,15600.0,6.0,0.0,False
59.0,15.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,47000.0,1.0,0.0,False
94.0,21.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,13800.0,6.0,0.0,False
79.0,21.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,48000.0,6.0,0.0,True
19.0,18.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,20000.0,6.0,0.0,False
40.0,16.0,2.0,0.0,5.0,1.0,4.0,4.0,2.0,2.0,1.0,18000.0,1.0,2.0,False
35.0,19.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,60000.0,1.0,0.0,True
12.0,9.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
37.0,20.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,23000.0,1.0,0.0,True
11.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
51.0,17.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,94000.0,1.0,0.0,True
6.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,True
61.0,20.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,66080.0,1.0,0.0,False
43.0,22.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,565000.0,1.0,0.0,False
35.0,21.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,40100.0,2.0,0.0,True
15.0,12.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,False
0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,False
61.0,1.0,2.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,False
56.0,9.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,10900.0,6.0,0.0,False
70.0,21.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,13000.0,6.0,0.0,False
35.0,16.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,6.0,0.0,False
15.0,12.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,False
23.0,16.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,38000.0,1.0,0.0,False
32.0,15.0,1.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,19000.0,6.0,0.0,False
44.0,19.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,35000.0,1.0,0.0,False
71.0,12.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,23700.0,6.0,0.0,True
49.0,15.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,12800.0,1.0,2.0,False
52.0,16.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,115000.0,1.0,0.0,False
43.0,21.0,1.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,143000.0,1.0,0.0,False
47.0,21.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1200.0,6.0,2.0,False
61.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,890.0,6.0,0.0,False
32.0,16.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,10900.0,6.0,0.0,False
83.0,18.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,8500.0,6.0,0.0,True
1.0,0.0,2.0,8.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,False
61.0,21.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,94000.0,1.0,0.0,False
13.0,10.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
48.0,13.0,2.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,False
82.0,19.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,12600.0,6.0,0.0,False
23.0,14.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,8000.0,1.0,2.0,False
16.0,14.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1700.0,6.0,2.0,True
58.0,15.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,11500.0,6.0,0.0,False
78.0,22.0,2.0,0.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,15000.0,6.0,0.0,True
8.0,5.0,1.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,False
39.0,14.0,2.0,0.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,50000.0,1.0,2.0,False
72.0,19.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,6000.0,6.0,0.0,True
67.0,19.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,122000.0,1.0,0.0,True
53.0,20.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,58000.0,1.0,0.0,False
6.0,4.0,2.0,3.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
65.0,21.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,25000.0,1.0,0.0,False
56.0,21.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,120000.0,1.0,0.0,False
64.0,21.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,85800.0,1.0,0.0,False
54.0,16.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,24000.0,1.0,0.0,True
6.0,5.0,2.0,8.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
27.0,21.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,50000.0,1.0,0.0,False
35.0,22.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,65000.0,1.0,2.0,False
7.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
81.0,21.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,50400.0,6.0,0.0,False
6.0,3.0,2.0,7.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,False
5.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
17.0,14.0,2.0,7.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,6.0,2.0,True
15.0,11.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,False
38.0,20.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,3000.0,1.0,2.0,False
54.0,20.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,95000.0,1.0,0.0,False
11.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,True
16.0,13.0,2.0,7.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,False
56.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,False
56.0,15.0,1.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,22800.0,1.0,0.0,False
66.0,16.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,37200.0,6.0,0.0,False
1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,False
14.0,12.0,1.0,8.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,False
20.0,19.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,19000.0,1.0,2.0,False
42.0,22.0,2.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,170000.0,1.0,2.0,False
69.0,8.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,3600.0,6.0,0.0,False
57.0,24.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,51000.0,1.0,0.0,False
14.0,11.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
52.0,16.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,27000.0,1.0,0.0,False
48.0,22.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,80000.0,1.0,0.0,False
47.0,21.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,165000.0,1.0,0.0,False
10.0,6.0,1.0,7.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,False
36.0,16.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,5600.0,6.0,2.0,False
16.0,15.0,2.0,7.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,True
52.0,12.0,2.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2000.0,6.0,0.0,False
8.0,6.0,2.0,7.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,False
13.0,9.0,1.0,1.0,3.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,False
2.0,0.0,2.0,5.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,False
37.0,21.0,1.0,0.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,40000.0,1.0,0.0,False
19.0,14.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2100.0,1.0,0.0,False
75.0,21.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,10900.0,6.0,0.0,False
49.0,21.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,287600.0,1.0,0.0,False
67.0,22.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,16500.0,6.0,0.0,True
82.0,16.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,35610.0,6.0,0.0,False
19.0,18.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,20000.0,3.0,0.0,False
60.0,23.0,2.0,0.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,3600.0,1.0,0.0,False
60.0,22.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,79300.0,1.0,0.0,True
27.0,19.0,1.0,0.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,22000.0,1.0,0.0,False
79.0,16.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,18700.0,6.0,0.0,False
1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,False
35.0,24.0,2.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,80000.0,1.0,2.0,False
69.0,19.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,22000.0,6.0,0.0,True
69.0,11.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,47200.0,3.0,0.0,False
54.0,21.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,565000.0,1.0,0.0,True
19.0,19.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,True
40.0,1.0,1.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,20000.0,1.0,0.0,False
80.0,22.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,120400.0,6.0,0.0,True
9.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,True
68.0,21.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,80300.0,6.0,0.0,False
